Model,Cohesiveness,HITId,WorkTimeInSeconds,Input.audio_url
Anticipation-RNN,3,3O0M2G5VC62O72TKLRZK2ZB955T49B,110,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,3,3O0M2G5VC62O72TKLRZK2ZB955T49B,179,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,3,3O0M2G5VC62O72TKLRZK2ZB955T49B,370,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,97,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,363,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,20,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,131,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,24,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,22,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,5,3O0M2G5VC62O72TKLRZK2ZB955T49B,236,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,148,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,5,3O0M2G5VC62O72TKLRZK2ZB955T49B,471,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,3,3O0M2G5VC62O72TKLRZK2ZB955T49B,33,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,5,3O0M2G5VC62O72TKLRZK2ZB955T49B,256,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,75,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,2,3O0M2G5VC62O72TKLRZK2ZB955T49B,20,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,51,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,5,3O0M2G5VC62O72TKLRZK2ZB955T49B,62,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,5,3O0M2G5VC62O72TKLRZK2ZB955T49B,18,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,366,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
Anticipation-RNN,4,3O0M2G5VC62O72TKLRZK2ZB955T49B,136,https://music-survey-files.s3.amazonaws.com/audio/a7b2615be53e047b0bd76f35abcff820a.mp3
